,blockNumber,erc20CoinTotalSupply,globalDebt,marketPriceEth,marketPriceUsd,redemptionPrice,redemptionRate,timestamp,redemptionPriceActual,redemptionRateActual,activeLiquidations,currentFsmUpdate,currentMedianizerUpdate,debtCeiling,liquidationsStarted,totalAnnualizedStabilityFee,totalCollateral,Eth_price
34,11870443,9054.515018562104,10002.820763644744,0.0025988926408264668,4.558182523439882,"{'block': '11870443', 'id': '0xce185580d0500172be67a1f6ed8162c7876aa5058943afb7fd9ac9fff70494b2-95', 'value': '3.139998915893934286086554094'}",{'hourlyRate': '0.999999966833127505886279592'},1613513339,3.1399989158939343,0.9999999668331275,0,{'value': '1747.76'},{'value': '1753.89412084'},10000000,1,1.019999999999999999972831879,52.66697488721813454,1747.76
35,11870767,9254.515018562104,10203.072145912165,0.002690113310514827,4.756819762450949,"{'block': '11870713', 'id': '0x05b8333b32baae808e06160062b405f961ba417e3320387339d1c1614c4d4dbf-226', 'value': '3.139998810226550156693189145'}",{'hourlyRate': '0.999999961884182090861589522'},1613517580,3.13999881022655,0.999999961884182,0,{'value': '1747.76'},{'value': '1768.26'},10000000,1,1.019999999999999999972831879,52.80335639850126996,1747.76
36,11870961,9654.515018562104,10603.096086573727,0.0024830454901359476,4.390670018387791,"{'block': '11870713', 'id': '0x05b8333b32baae808e06160062b405f961ba417e3320387339d1c1614c4d4dbf-226', 'value': '3.139998810226550156693189145'}",{'hourlyRate': '0.999999961884182090861589522'},1613520522,3.13999881022655,0.999999961884182,0,{'value': '1747.76'},{'value': '1768.26'},10000000,1,1.019999999999999999972831879,53.68335639850126996,1747.76
37,11871228,9784.515018562104,10733.107239915416,0.0026338433356151393,4.695036453200835,"{'block': '11871227', 'id': '0x73182fd3979f4534e4b2fb14b637aa7685f7f5cc2c1a9dde48191e1d01ae21e2-171', 'value': '3.139998570526854458529449748'}",{'hourlyRate': '0.999999961884182090861589522'},1613524115,3.1399985705268545,0.999999961884182,0,{'value': '1782.58'},{'value': '1782.58'},10000000,1,1.019999999999999999972831879,1390.68335639850126996,1782.58
38,11871495,209784.51501856212,210733.36333607114,0.002207183936943583,3.909673194865647,"{'block': '11871483', 'id': '0x6a48a40d9394d29b7d36c720c4e6bb18d0f6f2fcaf23cd3822dfa27417511e62-271', 'value': '3.139998451574640557319593393'}",{'hourlyRate': '0.999999961884182090861589522'},1613527832,3.1399984515746406,0.999999961884182,0,{'value': '1782.58'},{'value': '1771.34'},10000000,1,1.019999999999999999972831879,1391.01335639850126996,1782.58
39,11871769,264184.5150185621,265133.66264160926,0.001609872158835989,2.8504551345766185,"{'block': '11871753', 'id': '0x07a94cab59fd12f581335448e16d6e84b2e2fbbf5deedd6ceb03e3d9e0131a40-249', 'value': '3.139998331957522234865999446'}",{'hourlyRate': '0.999999961884182090861589522'},1613531491,3.139998331957522,0.999999961884182,0,{'value': '1771.34'},{'value': '1770.60962197'},10000000,1,1.019999999999999999972831879,1608.43635639850126996,1771.34
40,11872047,269184.5150185621,270134.5838166173,0.0019369616085485664,3.4296028614825804,"{'block': '11872043', 'id': '0xe3fdfdf297fb4af86a7a4528d7ddb383365e31f9785b62c0385a82cf3acc21d8-155', 'value': '3.139998250253984097805081194'}",{'hourlyRate': '0.999999974713895837422669078'},1613534905,3.139998250253984,0.9999999747138958,0,{'value': '1777.67'},{'value': '1770.60962197'},10000000,1,1.019999999999999999972831879,1696.93635639850126996,1777.67
41,11872406,280446.07458559045,282634.8355395337,0.0018614923265843069,3.2409139853530755,"{'block': '11872315', 'id': '0x990150fa3c773a45bea881e9bc27677d9220853080d9430e0060077e8fc9fc16-171', 'value': '3.139998170943881629153957188'}",{'hourlyRate': '0.999999974713895837422669078'},1613539781,3.1399981709438816,0.9999999747138958,0,{'value': '1770.60962197'},{'value': '1741.03'},10000000,1,1.019999999999999999972831879,1763.13635639850126996,1770.60962197
42,11872744,280443.04645579687,281396.39510656206,0.00186620342345815,3.2978149138928483,"{'block': '11872579', 'id': '0xb67159a201baa365605482f357b2a6ea43d5a494d60d64940ec97b5c5668e41a-316', 'value': '3.139998091347065008828559957'}",{'hourlyRate': '0.999999974713895837422669078'},1613544207,3.139998091347065,0.9999999747138958,0,{'value': '1749.14'},{'value': '1767.12510139'},10000000,1,1.019999999999999999972831879,1763.13635639850126996,1749.14
43,11872943,280443.04645579687,281396.39510656206,0.00186620342345815,3.351125855008217,"{'block': '11872864', 'id': '0x19527638a4ba54d6a55dae29d43d4e5b7706d3c178637f46d33c07cb9e22ac74-176', 'value': '3.139998009765292461874699872'}",{'hourlyRate': '0.999999974713895837422669078'},1613546764,3.1399980097652924,0.9999999747138958,0,{'value': '1741.03'},{'value': '1795.69162337'},10000000,1,1.019999999999999999972831879,1763.13635639850126996,1741.03
